year,title,img,rating_count,gross,genre,rating,runtime,stars,metacritic,description
2007,Good Luck Chuck,2007_good_luck_chuck.jpg,83380,34930000,"Comedy, Romance",R,96,5.6,NA,"In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true love."
2007,Breach,2007_breach.jpg,56492,33229999.999999996,"Biography, Crime, Drama",PG-13,110,7,NA,"FBI upstart Eric O'Neill enters into a power game with his boss, Robert Hanssen, an agent who was put on trial for selling secrets to the Soviet Union."
2007,Zodiac,2007_zodiac.jpg,418352,33080000,"Crime, Drama, Mystery",R,157,7.7,NA,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
2007,Balls of Fury,2007_balls_of_fury.jpg,39632,32840000.000000004,"Comedy, Crime, Sport",PG-13,90,5.3,NA,"Down-and-out former professional ping-pong phenom, Randy Daytona, is sucked into a maelstrom when FBI Agent Ernie Rodriguez recruits him for a secret mission. Randy is determined to bounce back and win, and to smoke out his father's killer -- arch-fiend Feng."
2007,Mr. Magorium's Wonder Emporium,2007_mr_magoriums_wonder_emporium.jpg,41317,32060000.000000004,"Comedy, Family, Fantasy",G,93,6.2,48,"Molly Mahoney is the manager of Mr. Magorium's Wonder Emporium, the awesome toy store owned by Mr. Edward Magorium. Molly was a promising composer and piano player when she was a girl, and ...                See full summary »"
2007,August Rush,2007_august_rush.jpg,100811,31660000,"Drama, Music",PG,114,7.5,NA,An orphaned musical prodigy uses his gift to try to find his birth parents.
2007,Daddy's Little Girls,2007_daddys_little_girls.jpg,6804,31340000,"Drama, Romance",PG-13,100,5.7,49,A mechanic falls in love with his attorney.
2007,The Great Debaters,2007_the_great_debaters.jpg,54206,30230000,"Biography, Drama, Romance",PG-13,126,7.6,NA,"A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship."
2007,We Own the Night,2007_we_own_the_night.jpg,82219,28560000,"Crime, Drama, Thriller",R,117,6.8,59,A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.
2007,Mr. Brooks,2007_mr_brooks.jpg,139028,28480000,"Crime, Drama, Thriller",R,120,7.3,45,A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.
2007,Hannibal Rising,2007_hannibal_rising.jpg,100081,27670000,"Adventure, Crime, Drama",R,121,6.2,NA,"After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death."
2007,The Nanny Diaries,2007_the_nanny_diaries.jpg,54556,25930000,"Comedy, Drama, Romance",PG-13,105,6.2,46,"A college graduate goes to work as a nanny for a rich New York family. Ensconced in their home, she has to juggle their dysfunction, a new romance, and the spoiled brat in her charge."
